"date","neighborhood","temperature_f","humidity_percent","wind_speed_mph","traffic_index","green_space_percent","pm25","air_quality_category"
2025-03-14,"South",77.2,79.4,8.4,27.5,25.7,28.6,"Moderate"
2025-03-15,"North",57.3,45.3,12.4,49.7,31.8,19.7,"Moderate"
2025-03-16,"South",60.7,64.7,8,41.3,35.2,17.1,"Moderate"
2025-03-17,"South",71.6,57.8,7.8,65.3,20.2,28.7,"Moderate"
2025-03-18,"North",72.8,59.9,10,81.4,38,24.1,"Moderate"
2025-03-19,"South",57.4,58,8.2,71.2,29.7,21.8,"Moderate"
2025-03-20,"North",63.2,58.5,11.8,40.7,21.8,24.5,"Moderate"
2025-03-21,"South",47.5,83.2,8.7,56.8,32,27.9,"Moderate"
2025-03-22,"West",62.3,41.2,6.7,63.5,30.5,18.2,"Moderate"
2025-03-23,"South",59.3,54.1,8,65.9,34.9,27.3,"Moderate"
2025-03-24,"North",76,58.9,8.7,50.1,42.1,27.6,"Moderate"
2025-03-25,"West",82.9,58.1,8.7,64.7,32.6,29.4,"Moderate"
2025-03-26,"East",68.2,49.2,7.8,38.6,24.8,6.5,"Good"
2025-03-27,"North",69.7,47.1,1.6,28.4,30.4,12.1,"Moderate"
2025-03-28,"West",69.1,66.3,3.6,61.2,32.7,24.6,"Moderate"
2025-03-29,"East",79.9,57.8,9.1,64.6,25.5,19.2,"Moderate"
2025-03-30,"North",66,32.5,7.6,75.9,49.5,28.6,"Moderate"
2025-03-31,"West",62,68.7,10.2,16,30.3,7.5,"Good"
2025-04-01,"East",72.9,60.4,9.8,75.2,32.9,28.9,"Moderate"
2025-04-02,"South",81.4,67.8,7,32.7,41.4,14.9,"Moderate"
2025-04-03,"North",52.1,87.1,4.8,35.9,24.4,16.5,"Moderate"
2025-04-04,"West",71.9,37.8,4,65.5,38.3,27.7,"Moderate"
2025-04-05,"North",70.5,59.9,14.4,64.5,32.2,22.2,"Moderate"
2025-04-06,"Central",50.3,75.2,11.9,44.1,32.1,18.7,"Moderate"
2025-04-07,"South",55.9,51.7,7.6,48.5,25,15.2,"Moderate"
2025-04-08,"West",67.4,49.6,4.9,41.8,15.4,25.5,"Moderate"
2025-04-09,"Central",46.8,56.4,8.9,36.8,18.6,20.4,"Moderate"
2025-04-10,"West",100.7,80.1,9.3,55.2,39.7,36.2,"Unhealthy"
2025-04-11,"West",66.9,59.2,7,33.7,20.9,12.6,"Moderate"
2025-04-12,"North",66.7,48.4,14.3,19.1,28.2,12.8,"Moderate"
2025-04-13,"West",72.2,68.2,7.6,63.1,23.4,33.6,"Moderate"
2025-04-14,"South",82.4,44.8,4.8,44.8,33.7,25.9,"Moderate"
2025-04-15,"West",50.2,62.7,5.8,57.8,51.9,16.5,"Moderate"
2025-04-16,"East",81.5,38.7,6.9,19.9,36.5,21.6,"Moderate"
2025-04-17,"North",75,62.5,7.7,53.1,38.9,15.5,"Moderate"
2025-04-18,"North",64.6,51.8,6.5,38.3,30.9,15.2,"Moderate"
2025-04-19,"North",73.3,49,2.7,27.6,17.7,12,"Moderate"
2025-04-20,"West",72.6,45,9.7,58,34.5,26.4,"Moderate"
2025-04-21,"East",89.1,56.1,7.2,38.4,13.8,19.8,"Moderate"
2025-04-22,"South",64.8,71.2,6.5,17.7,43.4,21.4,"Moderate"
2025-04-23,"Central",76,38.2,7.3,54.2,18.2,25.6,"Moderate"
2025-04-24,"Central",75.4,79.8,4.6,39.8,21.8,20.8,"Moderate"
2025-04-25,"North",75.5,57.5,2.7,95.9,53.5,32,"Moderate"
2025-04-26,"North",51.9,76.2,7.9,70.7,25.9,20.7,"Moderate"
2025-04-27,"South",74.4,63.2,7.5,37.7,21.6,20.5,"Moderate"
2025-04-28,"Central",86.1,66.8,10.8,77.7,24.4,28.4,"Moderate"
2025-04-29,"Central",68.4,70.2,11.1,38,33.9,12.3,"Moderate"
2025-04-30,"West",78.4,70.5,14.2,61.3,29.7,24.6,"Moderate"
2025-05-01,"South",55.3,68.1,8.9,48.3,37.9,26.5,"Moderate"
2025-05-02,"North",75,72.1,9.8,30.7,48.3,18.8,"Moderate"
2025-05-03,"West",61.6,85.1,4.8,45.2,22.7,23.6,"Moderate"
2025-05-04,"South",62.2,55.3,4.6,26.2,25.1,14.1,"Moderate"
2025-05-05,"East",54.8,30,6.7,37.1,49.8,14.3,"Moderate"
2025-05-06,"North",56.6,72.7,6.8,64.8,30,23.5,"Moderate"
2025-05-07,"East",52.8,52.2,10.4,44.1,24.7,16.5,"Moderate"
2025-05-08,"Central",76.5,47.4,6.2,96.9,40,24.6,"Moderate"
2025-05-09,"Central",87.2,59,6.7,61.8,7.8,25.3,"Moderate"
2025-05-10,"North",70.1,42.6,6.9,27.7,26.2,23.3,"Moderate"
2025-05-11,"South",60.7,52.9,7.7,52.3,19.8,18.6,"Moderate"
2025-05-12,"North",70.9,42,6.5,48.7,21.9,24,"Moderate"
2025-05-13,"North",76.4,42.3,3.6,71.5,20.6,16.9,"Moderate"
2025-05-14,"North",63.7,54.4,6.2,70.3,12.6,18.1,"Moderate"
2025-05-15,"South",69.1,53.8,11.9,31.1,41.2,15.4,"Moderate"
2025-05-16,"South",56.8,24.9,3.9,31.7,23.9,13.3,"Moderate"
2025-05-17,"West",71.6,60.7,7.3,55.7,33,30.6,"Moderate"
2025-05-18,"East",76.5,59.6,10.4,50.1,36.5,10.6,"Good"
2025-05-19,"West",63.9,73.7,7.4,27.7,22.3,18.3,"Moderate"
2025-05-20,"West",67.4,53.9,11,45.5,38.5,13.7,"Moderate"
2025-05-21,"East",76.4,56.9,5.5,42.3,32.2,20.6,"Moderate"
2025-05-22,"West",78.5,38.7,7.1,26.3,29.3,14.8,"Moderate"
2025-05-23,"Central",79.8,55.9,13.7,56.5,24.8,21.7,"Moderate"
2025-05-24,"North",88,54.6,6.6,25.4,37.6,17.9,"Moderate"
2025-05-25,"North",62.5,51.5,7.5,22.5,38,7.3,"Good"
2025-05-26,"West",70.4,63.7,7.9,70.1,30.7,23.2,"Moderate"
2025-05-27,"North",82.5,86.1,13,63.7,25.8,32.8,"Moderate"
2025-05-28,"North",26.2,59.7,3.8,38.5,46.7,16.2,"Moderate"
2025-05-29,"North",64.9,62,6.1,36.5,37.2,16.2,"Moderate"
2025-05-30,"South",44,36.2,8.6,63.4,28.4,16,"Moderate"
2025-05-31,"East",77,41.4,8.1,42.2,27.8,13,"Moderate"
2025-06-01,"North",78.1,81.3,8.9,54.9,29.7,24.8,"Moderate"
2025-06-02,"West",76,52.6,7.2,29.9,11.8,18.5,"Moderate"
2025-06-03,"East",60.8,100,9.4,18.6,57.9,12.2,"Moderate"
2025-06-04,"West",81.4,81,8.7,69,30.5,24.3,"Moderate"
2025-06-05,"North",72.9,58.9,12,75.2,17.5,29.8,"Moderate"
2025-06-06,"South",48.5,83.5,12.8,27.9,23.7,18.4,"Moderate"
2025-06-07,"South",60.6,77.6,7.7,44.1,44.4,20.5,"Moderate"
2025-06-08,"East",71.1,80.7,5.5,50.9,29.2,21.4,"Moderate"
2025-06-09,"West",48.6,76.8,7.1,23.3,37.4,15.9,"Moderate"
2025-06-10,"East",57.3,69.2,6.5,49,38.5,21.8,"Moderate"
2025-06-11,"Central",65.7,76.9,7.6,26.2,39.4,16.4,"Moderate"
2025-06-12,"Central",67.5,74.4,9.1,30.4,8.9,20,"Moderate"
2025-06-13,"North",62.6,80.4,5.3,59.3,28.8,23.2,"Moderate"
2025-06-14,"West",83.6,44.7,8.1,59.8,22.4,26.2,"Moderate"
2025-06-15,"East",89.7,92.3,6.9,42.1,41.8,24,"Moderate"
2025-06-16,"East",76.1,84.5,7.4,62.8,49.9,23.3,"Moderate"
2025-06-17,"North",60.8,86.4,8.8,37.1,17.5,16.1,"Moderate"
2025-06-18,"North",77.9,64.6,11.6,31.3,26.3,23.8,"Moderate"
2025-06-19,"North",68.5,57.9,6.1,30.9,13.9,20.6,"Moderate"
2025-06-20,"Central",66.9,50.4,5.2,74,33.1,29.1,"Moderate"
2025-06-21,"East",51.7,37.5,8.3,65.6,35.5,20.4,"Moderate"
2025-06-22,"Central",59.1,80.3,4.3,72.5,22.5,23,"Moderate"
2025-06-23,"West",66.9,70.1,6,28.4,24.7,9.3,"Good"
2025-06-24,"North",74.3,78.8,3,19.6,42.5,26.9,"Moderate"
2025-06-25,"East",54,58.8,7.4,20.8,37,17.5,"Moderate"
2025-06-26,"South",54.1,53.9,6.1,52,36.3,17.4,"Moderate"
2025-06-27,"Central",52.3,45.8,4.8,36.8,13.1,17,"Moderate"
2025-06-28,"South",63.7,63.2,9.8,33,24.6,17.1,"Moderate"
2025-06-29,"East",65.4,60.5,4.9,15.9,37.1,14.3,"Moderate"
2025-06-30,"South",73,70.4,5.1,59.4,37.1,32.1,"Moderate"
2025-07-01,"Central",57.4,85,9.2,77.3,37.2,26.4,"Moderate"
2025-07-02,"East",66,85,8.1,45.7,45.4,22.3,"Moderate"
2025-07-03,"South",65.2,67.4,8.6,44.1,19.8,21.5,"Moderate"
2025-07-04,"East",61.9,69.7,7.5,63.4,20.2,16.3,"Moderate"
2025-07-05,"West",56.6,44.2,11.3,39.4,39.2,15.9,"Moderate"
2025-07-06,"Central",63.1,52.8,4.9,51.9,26.9,21.2,"Moderate"
2025-07-07,"South",66.7,42.4,5.4,43,22.8,25.8,"Moderate"
2025-07-08,"West",59.9,65.1,10,61.8,19.6,21.8,"Moderate"
2025-07-09,"West",53.7,57.4,6.9,74.9,39.9,20.2,"Moderate"
2025-07-10,"South",42.2,53.7,8.6,49,27,14.4,"Moderate"
2025-07-11,"East",57.5,49.7,8.2,28.9,31.2,20,"Moderate"
2025-07-12,"West",48.9,74.7,6.6,54.9,23.3,19.2,"Moderate"
2025-07-13,"North",69.2,50.7,6.5,32.9,26.8,23.7,"Moderate"
2025-07-14,"East",61.9,39.8,8.3,30.4,31.9,22.8,"Moderate"
2025-07-15,"South",86.5,76.7,9.3,46.8,20.9,25.8,"Moderate"
2025-07-16,"East",65,41.4,2.1,52.9,37.8,18.9,"Moderate"
2025-07-17,"South",51.4,83.9,8,47.3,47.3,21.4,"Moderate"
2025-07-18,"West",77.1,58.7,11.6,13.2,28.3,8.8,"Good"
2025-07-19,"West",43.4,59.1,6.1,43.5,42.3,12.4,"Moderate"
